slide_id,case_id,file_id,sample_type_code,tissue_slide_id,filename,file_size
TCGA-BA-A6DD-01Z-00-DX1,TCGA-BA-A6DD,0d8e35a2-e38e-4c7c-908f-4cd659a09c33,01Z,DX1,TCGA-BA-A6DD-01Z-00-DX1.5B67DD6F-811C-4DE2-894E-C8FE4CF7FBE7.svs,1655797096
TCGA-BA-A6DE-01Z-00-DX1,TCGA-BA-A6DE,44f74e51-f411-47ad-86b6-1d9a25df4c41,01Z,DX1,TCGA-BA-A6DE-01Z-00-DX1.3279D372-4A92-4CFA-9E52-19197934378D.svs,1352759900
TCGA-BA-A6DF-01Z-00-DX1,TCGA-BA-A6DF,52b17274-7cbd-4e5d-a15d-f7de9f723eed,01Z,DX1,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.svs,1643809592
TCGA-BA-A6DG-01Z-00-DX1,TCGA-BA-A6DG,b144bd67-69ac-411c-9f10-88eca6df3fc3,01Z,DX1,TCGA-BA-A6DG-01Z-00-DX1.B227E4F2-2F78-4AD7-BD85-2A77701BACBA.svs,887602614
TCGA-BA-A6DI-01Z-00-DX1,TCGA-BA-A6DI,8a8bb00b-7406-434c-a36d-737bbadce091,01Z,DX1,TCGA-BA-A6DI-01Z-00-DX1.4EB42174-5219-43A3-AD93-64446DCE37CF.svs,871571608
TCGA-BA-A6DJ-01Z-00-DX1,TCGA-BA-A6DJ,e3247cfd-9755-415f-8450-3dc0d8bfb0b6,01Z,DX1,TCGA-BA-A6DJ-01Z-00-DX1.F83A347E-4442-4F06-9715-32E4C4E1A4FA.svs,1254600870
TCGA-BA-A6DL-01Z-00-DX1,TCGA-BA-A6DL,8079c074-ebe2-4b66-91f2-9c7e98df439b,01Z,DX1,TCGA-BA-A6DL-01Z-00-DX1.A2E13153-88A9-411B-AA0F-56314E72E2CB.svs,1036152808
TCGA-BA-A8YP-01Z-00-DX1,TCGA-BA-A8YP,b72b0426-d597-4280-b10e-033fb0fd0e6c,01Z,DX1,TCGA-BA-A8YP-01Z-00-DX1.03B95E63-2639-49F6-B8DD-AC2C2FA872B1.svs,1452716968
TCGA-BB-4217-01Z-00-DX1,TCGA-BB-4217,d5aa37e5-97ee-4f18-a1d4-603d9bfb99ec,01Z,DX1,TCGA-BB-4217-01Z-00-DX1.E351C8DB-F6CB-4327-9FEC-B9001E70C913.svs,1545538345
TCGA-BB-4223-01Z-00-DX1,TCGA-BB-4223,e9399bd6-6ad6-49b1-ad6a-d6bb47eb0bf4,01Z,DX1,TCGA-BB-4223-01Z-00-DX1.8806b83e-910f-4ee8-aa83-f84e3d13155f.svs,132284187
TCGA-BB-4224-01Z-00-DX1,TCGA-BB-4224,b55024f3-629f-4764-a14a-7654f490b8e8,01Z,DX1,TCGA-BB-4224-01Z-00-DX1.ebdb44ef-4266-40b7-bc1b-e197c9813868.svs,128847133
TCGA-BB-4225-01Z-00-DX1,TCGA-BB-4225,5103e013-9acb-4002-a0cb-8540852a495e,01Z,DX1,TCGA-BB-4225-01Z-00-DX1.cfce62af-e565-4673-9970-afd08767b062.svs,171468083
TCGA-BB-4227-01Z-00-DX1,TCGA-BB-4227,f9d127c3-013e-4fad-a5b0-196fe8e84bb5,01Z,DX1,TCGA-BB-4227-01Z-00-DX1.7475866c-90bb-4f62-b44e-adccc731cad8.svs,206456933
TCGA-BB-4228-01Z-00-DX1,TCGA-BB-4228,6c6be158-b6a3-4c23-aa66-3f577d8f33b8,01Z,DX1,TCGA-BB-4228-01Z-00-DX1.170b1b9a-05ac-4115-965e-56c2af944f1f.svs,102390211
TCGA-BB-7861-01Z-00-DX1,TCGA-BB-7861,eac6709c-57db-4273-bd56-9517ab2a325b,01Z,DX1,TCGA-BB-7861-01Z-00-DX1.efdd186f-1bbf-4e43-9875-9458cebcd0dd.svs,211106593
TCGA-BB-7862-01Z-00-DX1,TCGA-BB-7862,9413463d-2b05-4b01-bb6a-8cb35783df26,01Z,DX1,TCGA-BB-7862-01Z-00-DX1.13b1af78-0930-44ac-b060-a83613095918.svs,1146612287
TCGA-BB-7863-01Z-00-DX1,TCGA-BB-7863,7cc354af-24a2-49de-bc21-99ceb9c6931a,01Z,DX1,TCGA-BB-7863-01Z-00-DX1.f7662dec-5c02-4b33-91e4-b6f0b76d8498.svs,1005432615
